experiment,dataset,target_id,split_id,repeat,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.1, 1.0, 10.0)",0.2,full,"[0.1, 1.0, 10.0]",0.8946886446886447,0.691358024691358,0.6732456140350878,0.6869219453489116,0.691358024691358,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.1, 1.0, 10.0)",0.3,full,"[0.1, 1.0, 10.0]",0.8965201465201466,0.6941015089163237,0.6798245614035088,0.6905406239675902,0.6941015089163237,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.1, 1.0, 10.0)",0.4,full,"[0.1, 1.0, 10.0]",0.8965201465201466,0.6954732510288066,0.6754385964912281,0.6918919753189415,0.6954732510288066,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.1, 1.0, 10.0)",0.5,full,"[0.1, 1.0, 10.0]",0.8965201465201466,0.691358024691358,0.6776315789473685,0.6869691953961616,0.691358024691358,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.1, 1.0, 10.0)",0.6,full,"[0.1, 1.0, 10.0]",0.8946886446886447,0.6831275720164609,0.6798245614035088,0.6797037118666334,0.6831275720164609,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.1, 1.0, 10.0)",0.7,full,"[0.1, 1.0, 10.0]",0.8946886446886447,0.6776406035665294,0.6798245614035088,0.6744788122597112,0.6776406035665294,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.1, 1.0, 10.0)",0.8,full,"[0.1, 1.0, 10.0]",0.8901098901098901,0.6776406035665294,0.6776315789473685,0.6745733123542113,0.6776406035665294,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.01, 0.1, 1.0)",0.2,full,"[0.01, 0.1, 1.0]",0.9642857142857144,0.7064471879286695,0.6820175438596491,0.7039410179859619,0.7064471879286695,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.01, 0.1, 1.0)",0.3,full,"[0.01, 0.1, 1.0]",0.9642857142857144,0.7064471879286695,0.6798245614035088,0.7039410179859619,0.7064471879286695,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9606227106227108,0.7037037037037037,0.6864035087719298,0.7012383152832591,0.7037037037037037,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.956959706959707,0.7023319615912208,0.6842105263157895,0.7001147197776412,0.7023319615912208,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9505494505494504,0.6941015089163237,0.6885964912280702,0.6902691599320814,0.6941015089163237,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.01, 0.1, 1.0)",0.7,full,"[0.01, 0.1, 1.0]",0.945054945054945,0.6872427983539094,0.6907894736842105,0.6830307901937115,0.6872427983539094,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.01, 0.1, 1.0)",0.8,full,"[0.01, 0.1, 1.0]",0.9368131868131868,0.6886145404663924,0.6929824561403509,0.6841543856993294,0.6886145404663924,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.05, 0.5, 5.0)",0.2,full,"[0.05, 0.5, 5.0]",0.9157509157509156,0.710562414266118,0.6820175438596491,0.7085239350688789,0.710562414266118,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.05, 0.5, 5.0)",0.3,full,"[0.05, 0.5, 5.0]",0.9148351648351648,0.7078189300411523,0.6842105263157895,0.7057739823189262,0.7078189300411523,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9166666666666666,0.700960219478738,0.6864035087719298,0.6976668867118305,0.700960219478738,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9184981684981685,0.6954732510288066,0.6864035087719298,0.6920548742177957,0.6954732510288066,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9157509157509156,0.6872427983539094,0.6885964912280702,0.683577260122204,0.6872427983539094,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.05, 0.5, 5.0)",0.7,full,"[0.05, 0.5, 5.0]",0.9148351648351648,0.6817558299039781,0.6842105263157895,0.6783051104680318,0.6817558299039781,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.05, 0.5, 5.0)",0.8,full,"[0.05, 0.5, 5.0]",0.9065934065934066,0.6790123456790124,0.6864035087719298,0.6759246637055626,0.6790123456790124,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.1, 1.0, 10.0)",0.2,full,"[0.1, 1.0, 10.0]",0.8946886446886447,0.691358024691358,0.6732456140350878,0.6869219453489116,0.691358024691358,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.1, 1.0, 10.0)",0.3,full,"[0.1, 1.0, 10.0]",0.8965201465201466,0.6941015089163237,0.6798245614035088,0.6905406239675902,0.6941015089163237,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.1, 1.0, 10.0)",0.4,full,"[0.1, 1.0, 10.0]",0.8965201465201466,0.6954732510288066,0.6754385964912281,0.6918919753189415,0.6954732510288066,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.1, 1.0, 10.0)",0.5,full,"[0.1, 1.0, 10.0]",0.8965201465201466,0.691358024691358,0.6776315789473685,0.6869691953961616,0.691358024691358,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.1, 1.0, 10.0)",0.6,full,"[0.1, 1.0, 10.0]",0.8946886446886447,0.6831275720164609,0.6798245614035088,0.6797037118666334,0.6831275720164609,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.1, 1.0, 10.0)",0.7,full,"[0.1, 1.0, 10.0]",0.8946886446886447,0.6776406035665294,0.6798245614035088,0.6744788122597112,0.6776406035665294,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.99,"(0.1, 1.0, 10.0)",0.8,full,"[0.1, 1.0, 10.0]",0.8901098901098901,0.6776406035665294,0.6776315789473685,0.6745733123542113,0.6776406035665294,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.01, 0.1, 1.0)",0.2,full,"[0.01, 0.1, 1.0]",0.9633699633699634,0.710562414266118,0.6842105263157895,0.7081544290813954,0.710562414266118,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.01, 0.1, 1.0)",0.3,full,"[0.01, 0.1, 1.0]",0.9615384615384616,0.710562414266118,0.6885964912280702,0.7082016791286454,0.710562414266118,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9615384615384616,0.7064471879286695,0.6885964912280702,0.7039410179859618,0.7064471879286695,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9587912087912088,0.7064471879286695,0.6864035087719298,0.7049429996059209,0.7064471879286695,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9514652014652014,0.7037037037037037,0.6885964912280702,0.7024680527489517,0.7037037037037037,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.01, 0.1, 1.0)",0.7,full,"[0.01, 0.1, 1.0]",0.944139194139194,0.6982167352537723,0.6885964912280702,0.6977423730232719,0.6982167352537723,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.01, 0.1, 1.0)",0.8,full,"[0.01, 0.1, 1.0]",0.9377289377289376,0.700960219478738,0.6973684210526315,0.6995079510528949,0.700960219478738,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.05, 0.5, 5.0)",0.2,full,"[0.05, 0.5, 5.0]",0.9203296703296704,0.7133058984910837,0.6842105263157895,0.7111793877243315,0.7133058984910837,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.05, 0.5, 5.0)",0.3,full,"[0.05, 0.5, 5.0]",0.9194139194139194,0.710562414266118,0.6885964912280702,0.7086099407728621,0.710562414266118,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9175824175824177,0.7078189300411523,0.6885964912280702,0.705679482224426,0.7078189300411523,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9157509157509156,0.7037037037037037,0.6864035087719298,0.7030617727246942,0.7037037037037037,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9148351648351648,0.6927297668038409,0.6864035087719298,0.6925823303632292,0.6927297668038409,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,48,0.9,"(0.05, 0.5, 5.0)",0.7,full,"[0.05, 0.5, 5.0]",0.9166666666666666,0.691358024691358,0.6907894736842105,0.6912309790118779,0.691358024691358,4000
