dataset,ablation,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,train_size,val_size,test_size,split_policy,selection_rule,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
cornell,raw_only,10,1.0,0.0,0.8084745762711865,0.028863366721909176,0.772972972972973,0.04967224775528007,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,80.84745762711864,2.8863366721909176,77.29729729729729,4.967224775528007
cornell,ridge_only,10,1.0,0.0,0.8067796610169491,0.03010827704965927,0.7756756756756757,0.07434479652532525,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,80.6779661016949,3.010827704965927,77.56756756756758,7.4344796525325245
cornell,row_lowpass_only,10,1.0,0.0,0.7525423728813558,0.04740378974780346,0.745945945945946,0.057262157052507076,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,75.25423728813558,4.740378974780346,74.5945945945946,5.726215705250707
cornell,single_alpha,10,0.9965517241379309,0.0055522516268925095,0.7796610169491525,0.05535570040187972,0.7324324324324325,0.06675183262285658,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,99.6551724137931,0.5552251626892509,77.96610169491525,5.535570040187972,73.24324324324326,6.675183262285659
texas,fixed_dim64_energy095,10,1.0,0.0,0.8672413793103448,0.02701760752538663,0.8578947368421053,0.04674706173499727,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,86.72413793103448,2.701760752538663,85.78947368421052,4.674706173499727
texas,no_highpass,10,1.0,0.0,0.8344827586206897,0.02180881144943709,0.8342105263157895,0.043062939328538885,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,83.44827586206897,2.180881144943709,83.42105263157895,4.3062939328538885
texas,no_p3,10,1.0,0.0,0.8672413793103448,0.02158044063852712,0.8526315789473685,0.04151634935508503,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,86.72413793103448,2.158044063852712,85.26315789473685,4.151634935508503
texas,no_sym,10,1.0,0.0,0.8672413793103448,0.024450629179520324,0.8578947368421053,0.041516349355085,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,86.72413793103448,2.4450629179520322,85.78947368421052,4.1516349355085
texas,pca_only,10,1.0,0.0,0.7517241379310345,0.02180881144943706,0.7710526315789473,0.054144910042143723,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,75.17241379310346,2.180881144943706,77.10526315789473,5.414491004214373
texas,raw_only,10,1.0,0.0,0.8482758620689654,0.022699330641530444,0.8289473684210525,0.02842430130880639,87,58,38,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,84.82758620689654,2.269933064153044,82.89473684210526,2.842430130880639
