experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule,source_file
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,no_highpass,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.86,0.86,4602,0.790295804406882,"{""0"": 17, ""1"": 15, ""2"": 17, ""3"": 17, ""4"": 16, ""5"": 15, ""6"": 15, ""7"": 14, ""8"": 15, ""9"": 16}","{""0"": 0.9532073310638608, ""1"": 0.9544227623081353, ""2"": 0.9645505309953488, ""3"": 0.9662171099074462, ""4"": 0.9624044612693993, ""5"": 0.9605209763547553, ""6"": 0.9500064198448226, ""7"": 0.9626669463390883, ""8"": 0.9548984229893999, ""9"": 0.961241225015376}",665.638457393994,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,pca_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.8033333333333333,0.8033333333333333,6903,0.784862662239662,"{""0"": 18, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 16, ""5"": 15, ""6"": 16, ""7"": 15, ""8"": 17, ""9"": 16}","{""0"": 0.9762317959480724, ""1"": 0.962431350039246, ""2"": 0.9532389988768134, ""3"": 0.95752377706479, ""4"": 0.9527258020892082, ""5"": 0.9541305861508019, ""6"": 0.9542492312094765, ""7"": 0.9505996433479976, ""8"": 0.9680579288392992, ""9"": 0.9599263896684964}",251.7076142579972,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,ridge_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.0,full,"[0.05, 0.5, 5.0]",1.0,0.8366666666666667,0.8366666666666667,6903,0.7644883791125868,"{""0"": 18, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 16, ""5"": 15, ""6"": 16, ""7"": 15, ""8"": 17, ""9"": 16}","{""0"": 0.9762317959480724, ""1"": 0.962431350039246, ""2"": 0.9532389988768134, ""3"": 0.95752377706479, ""4"": 0.9527258020892082, ""5"": 0.9541305861508019, ""6"": 0.9542492312094765, ""7"": 0.9505996433479976, ""8"": 0.9680579288392992, ""9"": 0.9599263896684964}",251.56985800000257,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,single_alpha,src_v16c_ablation,200,300,13252,4000,64,0.99,"(1.0,)",0.5,full,[1.0],1.0,0.8466666666666667,0.8466666666666667,6903,0.7758074252942952,"{""0"": 19, ""1"": 18, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 18, ""6"": 19, ""7"": 18, ""8"": 19, ""9"": 19}","{""0"": 1.0, ""1"": 0.9903815503526132, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.9928540457808531, ""6"": 1.0, ""7"": 0.9928618446251972, ""8"": 1.0, ""9"": 1.0}",387.1303848349999,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,fixed_dim64_energy095,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.8366666666666667,0.8366666666666667,6903,0.7692423785089043,"{""0"": 18, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 16, ""5"": 15, ""6"": 16, ""7"": 15, ""8"": 17, ""9"": 16}","{""0"": 0.9762317959480724, ""1"": 0.962431350039246, ""2"": 0.9532389988768134, ""3"": 0.95752377706479, ""4"": 0.9527258020892082, ""5"": 0.9541305861508019, ""6"": 0.9542492312094765, ""7"": 0.9505996433479976, ""8"": 0.9680579288392992, ""9"": 0.9599263896684964}",204.14561815000343,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,raw_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,raw_only,"[0.01, 0.1, 1.0]",1.0,0.7133333333333334,0.7133333333333333,767,0.6152278901297917,"{""0"": 18, ""1"": 16, ""2"": 16, ""3"": 17, ""4"": 17, ""5"": 15, ""6"": 16, ""7"": 14, ""8"": 15, ""9"": 17}","{""0"": 0.9730464101372447, ""1"": 0.9543314266678132, ""2"": 0.9565198915815507, ""3"": 0.9580419286502536, ""4"": 0.9700053479389409, ""5"": 0.9568783434789828, ""6"": 0.9683265114493022, ""7"": 0.9551328269261181, ""8"": 0.9612699233533248, ""9"": 0.966352742833932}",151.4959828200008,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,row_lowpass_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,row_lowpass_only,"[0.01, 0.1, 1.0]",1.0,0.84,0.8400000000000001,3068,0.7737699969815877,"{""0"": 18, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 15, ""6"": 16, ""7"": 14, ""8"": 15, ""9"": 16}","{""0"": 0.9714724557677177, ""1"": 0.9622561151999541, ""2"": 0.9698916976729008, ""3"": 0.958924400205056, ""4"": 0.9691346947869838, ""5"": 0.9580770404251167, ""6"": 0.9665923994320434, ""7"": 0.9587305513075555, ""8"": 0.9583918211109871, ""9"": 0.9505780083285533}",543.2533700579952,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_p3,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.83,0.8300000000000001,6136,0.7638092363416843,"{""0"": 17, ""1"": 17, ""2"": 18, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 18, ""9"": 17}","{""0"": 0.9595052779516443, ""1"": 0.964357799033398, ""2"": 0.9743152105420199, ""3"": 0.964982051318043, ""4"": 0.9647136827348628, ""5"": 0.9589957243412414, ""6"": 0.963556389661698, ""7"": 0.9713853208911999, ""8"": 0.9772452483024973, ""9"": 0.9614598195417484}",731.5764297889982,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r3/E05_ablation_rows.csv
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_sym,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8266666666666667,0.8266666666666668,4602,0.7275128282523393,"{""0"": 17, ""1"": 17, ""2"": 18, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 17, ""9"": 17}","{""0"": 0.9585005376815233, ""1"": 0.96065482832352, ""2"": 0.9753657694570292, ""3"": 0.9603528789525752, ""4"": 0.960834286775673, ""5"": 0.9593508280730074, ""6"": 0.9692034676179243, ""7"": 0.9704464197366317, ""8"": 0.953731730241955, ""9"": 0.9612972456758946}",587.0299504459981,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r3/E05_ablation_rows.csv
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_highpass,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_highpass,"[0.05, 0.5, 5.0]",1.0,0.8666666666666667,0.8666666666666666,4602,0.8124056746151525,"{""0"": 16, ""1"": 15, ""2"": 18, ""3"": 16, ""4"": 16, ""5"": 15, ""6"": 14, ""7"": 16, ""8"": 17, ""9"": 16}","{""0"": 0.9539491101222859, ""1"": 0.9502450154073082, ""2"": 0.9743819873487095, ""3"": 0.9644453854246446, ""4"": 0.9586814492450463, ""5"": 0.9588149842897468, ""6"": 0.952325616109246, ""7"": 0.9560855849995312, ""8"": 0.9690325977361457, ""9"": 0.9628984881007844}",667.3705408480018,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r3/E05_ablation_rows.csv
