split,best_dim,class_label,branch_index,kind,confuser_class,basis_dim,member_size,radius,class_scale,extra_bias_scale,gate_strength,seed_size,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score
8,32,2,0,root,,32,224,4.9103901327413455,2.978948409681637,0.0,0.0,,,,,
8,32,2,1,extra,3,32,86,4.602303973886777,2.978948409681637,0.1,2.5,32,0.5732166742336532,0.4301766004813191,24.508705844819982,2.1060119610563492
8,32,2,2,extra,1,32,90,4.763620178774675,2.978948409681637,0.1,2.5,28,0.508794256655317,0.4852121635587883,17.36598824425027,2.195915214856192
8,32,3,0,root,,32,251,4.899580507396433,2.683243861954967,0.0,0.0,,,,,
8,32,3,1,extra,2,32,103,4.771337618005916,2.683243861954967,0.1,2.5,28,0.45359852811397383,0.4301766004813191,24.508705844819982,2.1060119610563492
8,32,4,0,root,,32,184,4.794516737582427,3.2593266804631007,0.0,0.0,,,,,
8,32,4,1,extra,3,32,79,4.920129824964493,3.2593266804631007,0.1,2.5,37,0.49142854583436346,0.3925971894807903,24.256881472394706,2.2926966950387486
9,48,0,0,root,,48,224,5.178790582969949,1.9388596576709207,0.0,0.0,,,,,
9,48,0,1,extra,1,48,95,4.732564283879359,1.9388596576709207,0.1,2.5,25,0.27548086418103734,0.4543787849594317,14.4849565957361,2.8730051695912846
9,48,0,2,extra,2,48,84,5.006886214996541,1.9388596576709207,0.1,2.5,20,0.33172044633443265,0.5669766916081095,16.49022144757423,1.516845060412947
9,48,1,0,root,,48,239,5.0570927812584126,2.224878106983475,0.0,0.0,,,,,
9,48,1,1,extra,0,48,102,4.911572623383292,2.224878106983475,0.1,2.5,35,0.38108385598740546,0.4543787849594317,14.4849565957361,2.8730051695912846
9,48,1,2,extra,2,48,90,4.689445433213137,2.224878106983475,0.1,2.5,28,0.6441522426249875,0.4766583177302151,17.830104677536177,2.0024103998420357
9,48,2,0,root,,48,218,4.9207624730153166,3.022663344722849,0.0,0.0,,,,,
9,48,2,1,extra,3,48,86,4.602271954239958,3.022663344722849,0.1,2.5,28,0.9984084260278705,0.4508960145414731,23.049754452436556,1.6981096433021405
9,48,2,2,extra,1,48,87,5.2999773271268005,3.022663344722849,0.1,2.5,26,0.8237581006112173,0.4766583177302151,17.830104677536177,2.0024103998420357
9,48,3,0,root,,48,239,4.84639848008124,2.608598257900335,0.0,0.0,,,,,
9,48,3,1,extra,2,48,97,4.4252274240712435,2.608598257900335,0.1,2.5,28,0.6685322030832443,0.4508960145414731,23.049754452436556,1.6981096433021405
9,48,3,2,extra,0,48,85,5.067035940985758,2.608598257900335,0.1,2.5,18,1.014631803539933,0.7733351109818107,24.517800172631446,0.5152676361584142
9,48,4,0,root,,48,172,4.793182783446982,2.9726466951015293,0.0,0.0,,,,,
9,48,4,1,extra,3,48,64,4.283840627279049,2.9726466951015293,0.1,2.5,23,1.5631613117424061,0.4241071628314473,24.67005708666978,1.2952186666708423


