split,kind,true_class,other_class,count,class_label,branch_debug_index,confuser,seed_size,group_size,median_gain
8,oof_confusion,2,1,28,,,,,,
8,oof_confusion,2,3,32,,,,,,
8,oof_confusion,3,4,22,,,,,,
8,oof_confusion,3,2,28,,,,,,
8,oof_confusion,3,0,7,,,,,,
8,oof_confusion,3,1,8,,,,,,
8,oof_confusion,4,3,37,,,,,,
8,oof_confusion,4,2,21,,,,,,
8,oof_confusion,4,0,10,,,,,,
8,oof_confusion,4,1,7,,,,,,
8,branch_debug,,,,0,0,1,33,92,0.26029518231152116
8,branch_debug,,,,0,1,3,15,76,0.2576923638866707
8,branch_debug,,,,1,0,0,37,97,0.2617843169618548
8,branch_debug,,,,1,1,2,22,81,0.3746604315842328
8,branch_debug,,,,2,0,3,32,86,0.5732166742336532
8,branch_debug,,,,2,1,1,28,90,0.508794256655317
8,branch_debug,,,,3,0,2,28,103,0.45359852811397383
8,branch_debug,,,,4,0,3,37,79,0.49142854583436346
9,oof_confusion,0,3,13,,,,,,
9,oof_confusion,0,2,20,,,,,,
9,oof_confusion,0,1,25,,,,,,
9,oof_confusion,0,4,4,,,,,,
9,oof_confusion,1,0,35,,,,,,
9,oof_confusion,1,2,28,,,,,,
9,oof_confusion,1,3,14,,,,,,
9,oof_confusion,1,4,2,,,,,,
9,oof_confusion,2,1,26,,,,,,
9,oof_confusion,2,4,22,,,,,,
9,oof_confusion,2,0,25,,,,,,
9,oof_confusion,2,3,28,,,,,,
9,oof_confusion,3,2,28,,,,,,
9,oof_confusion,3,4,20,,,,,,
9,oof_confusion,3,0,18,,,,,,
9,oof_confusion,3,1,7,,,,,,
9,oof_confusion,4,3,23,,,,,,
9,oof_confusion,4,1,5,,,,,,
9,oof_confusion,4,2,16,,,,,,
9,oof_confusion,4,0,8,,,,,,
9,branch_debug,,,,0,0,1,25,95,0.27548086418103734
9,branch_debug,,,,0,1,2,20,84,0.33172044633443265
9,branch_debug,,,,1,0,0,35,102,0.38108385598740546
9,branch_debug,,,,1,1,2,28,90,0.6441522426249875
9,branch_debug,,,,2,0,3,28,86,0.9984084260278705
9,branch_debug,,,,2,1,1,26,87,0.8237581006112173
9,branch_debug,,,,3,0,2,28,97,0.6685322030832443
9,branch_debug,,,,3,1,0,18,85,1.014631803539933
9,branch_debug,,,,4,0,3,23,64,1.5631613117424061


