split,class_label,branch_index,confuser_class,seed_size,member_size,basis_dim,radius,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch,changed_when_removed_test,net_fix_test
1,2,2,0,32,93,64,5.128622197765456,1.059150780756534,0.5364513247704614,16.82105612291732,1.476600928118517,7,0,1,0,0,3,3,0
1,3,1,2,30,98,64,4.459569331087185,0.9703482017305676,0.4531996987831448,22.440010103013524,1.9083192418949608,0,0,0,0,0,0,0,0
1,4,1,3,27,75,64,4.66513191862375,1.4671267899367149,0.390399272379783,22.895310591143108,1.7175493244777105,0,0,1,0,0,0,0,0
2,0,1,1,33,94,64,4.62476910941779,0.3203025578348436,0.44701888294192405,12.34356061258433,6.255002271731337,2,1,2,5,0,3,8,5
2,1,1,0,39,104,64,4.707153079508373,0.5518786063630199,0.44701888294192405,12.34356061258433,6.255002271731337,3,3,0,0,1,0,1,-1
2,1,2,2,22,84,61,4.5592460588789185,1.0558017206766663,0.5234157042813242,16.394714728767312,2.4020339465345835,1,1,0,1,0,0,1,1
2,2,1,3,29,83,64,4.573661278130458,1.2236823579654272,0.4474082686297373,23.936912769514603,2.9093938176899297,0,0,0,0,0,0,0,0
2,2,2,1,21,77,64,5.116141740027844,1.1937774158302776,0.5234157042813242,16.394714728767312,2.4020339465345835,7,1,0,5,0,0,5,5
2,3,1,2,36,108,64,5.011296726592735,0.8306641605601538,0.4474082686297373,23.936912769514603,2.9093938176899297,0,0,0,0,0,1,1,0
2,4,1,3,25,71,64,4.848769125084878,1.524849806324363,0.3992154065765302,22.796686338211387,2.106891992365255,0,0,0,0,0,0,0,0
2,4,2,0,13,63,62,4.589021654402859,1.4327618129740007,0.8180169315143883,25.579924777302885,0.3207212811101381,1,0,0,0,0,0,0,0
3,0,1,1,30,97,64,5.103321225207165,0.4102970845178344,0.4165790410381496,12.286248437765959,5.149963710882738,2,0,1,1,1,0,2,0
3,0,2,2,15,82,63,5.348525999695968,0.34315455340110956,0.577531562247805,17.03234168849365,1.745803312172716,0,1,0,0,0,1,1,0
3,1,1,0,36,97,64,5.00438768054624,0.7460480781197294,0.4165790410381496,12.286248437765959,5.149963710882738,3,3,1,1,3,1,5,-2
3,1,2,2,17,77,55,4.579380905223264,0.9241242141161674,0.5220730808872339,17.75689922272845,1.5508900588042533,1,0,0,1,0,0,1,1
3,2,1,3,37,87,64,4.630385139646926,1.1408169434892752,0.4195909722020449,23.11689470631724,3.0468637330640043,0,0,0,0,0,0,0,0
3,2,2,0,28,85,64,5.186416386384627,1.1349812012396714,0.577531562247805,17.03234168849365,1.745803312172716,4,0,1,2,0,0,2,2
3,3,1,2,37,109,64,4.943923001479546,0.7815680810285026,0.4195909722020449,23.11689470631724,3.0468637330640043,0,0,0,0,0,0,0,0
3,4,1,3,22,67,64,4.5488984918429605,1.565300969042716,0.41975785959909356,24.098511383801014,1.5397580959445167,0,0,0,0,0,0,0,0
3,4,2,0,11,63,62,4.71731371680505,1.3305972466348135,0.790461191167624,26.985097546263603,0.29956590303008124,1,1,0,0,0,0,0,0
4,0,1,1,20,80,32,4.8914131828294805,0.2649918492931823,0.4364841328906597,14.401277058330173,5.042882888980156,3,3,0,1,1,0,2,0
4,1,1,0,48,114,32,5.327981238469085,0.39174060205813355,0.4364841328906597,14.401277058330173,5.042882888980156,2,3,0,0,2,0,2,-2
4,2,1,3,42,85,32,4.740172446374063,0.8384031589334189,0.4265748734822913,25.63367219249706,3.367909638786518,1,0,1,0,2,2,4,-2
4,2,2,0,23,77,32,5.2458198671139655,0.6591293662787696,0.6021536478731033,17.333615363930544,1.473862263230488,0,2,1,1,0,0,1,1
4,3,1,2,37,103,32,4.9934823833259,0.4141494084910917,0.4265748734822913,25.63367219249706,3.367909638786518,2,0,0,0,0,1,1,0
4,4,1,3,27,77,32,4.579237609376036,0.7025820518932528,0.40525095993901317,26.00249423603357,2.1234479142797693,1,1,0,0,0,2,2,0
5,0,1,1,23,90,64,3.461592602371111,0.34092663648691224,0.4379442244359461,12.677546101475949,4.15736340413901,5,2,1,1,2,0,3,-1
