split,class_label,branch_index,confuser_class,seed_size,member_size,basis_dim,radius,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch,changed_when_removed_test,net_fix_test
2,4,2,0,13,63,62,4.589021654402859,1.4331391509191809,0.8180169315143883,25.579924777302885,0.3207212811101381,1,0,0,1,0,0,1,1
3,0,1,1,30,97,64,5.103321225207165,0.41071082411127846,0.4165790410381496,12.286248437765959,5.149963710882738,2,0,1,1,1,0,2,0
3,0,2,2,15,82,63,5.348525999695968,0.3439226813840106,0.577531562247805,17.03234168849365,1.745803312172716,1,1,0,0,0,1,1,0
3,1,1,0,36,97,64,5.00438768054624,0.7774191471367464,0.4165790410381496,12.286248437765959,5.149963710882738,4,3,1,1,3,1,5,-2
3,1,2,2,17,77,55,4.579380905223264,0.9226633870685674,0.5220730808872339,17.75689922272845,1.5508900588042533,1,0,0,1,0,0,1,1
3,2,1,3,37,87,64,4.630385139646926,1.1424956121499115,0.4195909722020449,23.11689470631724,3.0468637330640043,0,0,0,0,0,0,0,0
3,2,2,0,28,85,64,5.186416386384627,1.1325632951192999,0.577531562247805,17.03234168849365,1.745803312172716,3,0,1,2,0,0,2,2
3,3,1,2,37,109,64,4.943923001479546,0.7814788729950513,0.4195909722020449,23.11689470631724,3.0468637330640043,0,0,0,0,0,0,0,0
3,4,1,3,22,67,64,4.5488984918429605,1.576082048509646,0.41975785959909356,24.098511383801014,1.5397580959445167,0,0,0,0,0,0,0,0
3,4,2,0,11,63,62,4.71731371680505,1.3349943873760628,0.790461191167624,26.985097546263603,0.29956590303008124,1,1,0,0,0,0,0,0
4,0,1,1,20,80,32,4.8914131828294805,0.26567821217480825,0.4364841328906597,14.401277058330173,5.042882888980156,3,3,0,1,1,0,2,0
4,1,1,0,48,114,32,5.327981238469085,0.3903160011592339,0.4364841328906597,14.401277058330173,5.042882888980156,2,3,0,0,2,0,2,-2
4,2,1,3,42,85,32,4.740172446374063,0.8339811163104871,0.4265748734822913,25.63367219249706,3.367909638786518,1,0,1,0,2,2,4,-2
4,2,2,0,23,77,32,5.2458198671139655,0.6580870268688095,0.6021536478731033,17.333615363930544,1.473862263230488,0,2,1,2,0,0,2,2
4,3,1,2,37,103,32,4.9934823833259,0.4208120915402511,0.4265748734822913,25.63367219249706,3.367909638786518,2,0,0,1,1,1,3,0
4,4,1,3,27,77,32,4.579237609376036,0.7033468443489612,0.40525095993901317,26.00249423603357,2.1234479142797693,1,1,0,0,0,2,2,0
5,0,1,1,23,90,64,3.461592602371111,0.34129510064563373,0.4379442244359461,12.677546101475949,4.15736340413901,5,2,1,1,2,0,3,-1
5,1,1,0,40,98,64,5.131995944141532,0.7687572751960594,0.4379442244359461,12.677546101475949,4.15736340413901,1,4,4,7,4,1,12,3
5,1,2,2,19,81,58,4.764913484379849,0.8390404078084792,0.4937214071142579,17.513816168195635,1.482984939459533,0,0,0,0,1,0,1,-1
5,2,1,3,37,93,64,4.700892900126473,1.2001358058263434,0.4385836650285002,23.076247808629816,2.4254291752636274,0,0,0,0,0,0,0,0
5,2,2,0,26,89,64,5.432672847964323,1.175243920110077,0.5874040535279182,16.57928681457977,1.429592476277274,2,1,2,1,1,0,2,0
5,3,1,2,30,98,64,4.592554034034395,0.849486598296449,0.4385836650285002,23.076247808629816,2.4254291752636274,0,0,0,0,0,0,0,0
5,3,2,0,16,86,64,5.090613593912543,1.3580904459588514,0.7657493266402143,23.012430539177462,0.5613659815138994,1,0,0,1,0,0,1,1
5,4,1,3,21,68,64,4.402382569636744,1.523911498997642,0.4137286024212141,23.167424658908708,1.2613978183272478,0,0,0,0,0,0,0,0
6,1,1,0,31,95,24,5.119606163822305,0.2979203141544948,0.4815222742592458,16.37688384791477,2.7503970149624353,2,2,0,3,3,1,7,0
6,1,2,2,23,81,24,4.831158346041654,0.2366215894915107,0.5134479881288032,18.722732611791972,1.9060989115494213,4,4,2,5,1,0,6,4
6,2,1,0,30,86,24,5.210883921124669,0.46591335958001545,0.6158579456336697,18.53037992734617,1.3107207157376304,2,0,1,4,0,1,5,4
6,2,2,3,28,85,24,4.601295591041602,0.5499919962965647,0.46019331414133313,26.889780609203996,1.4807562048423242,0,0,0,1,1,0,2,0
6,3,1,2,21,93,24,4.449265597370112,0.3067780386672918,0.46019331414133313,26.889780609203996,1.4807562048423242,2,0,0,0,1,0,1,-1
6,4,1,3,33,79,24,5.025838980235293,0.48655794004948305,0.42833933353139175,26.091617840445693,1.9072206266363432,1,0,1,2,0,1,3,2
7,1,1,0,39,96,32,4.872193741761528,0.4423964815518533,0.41672198732662,15.728272065247706,3.3505056979060424,5,1,2,4,2,2,8,2
7,1,2,2,24,77,32,4.7590748241854195,0.25650365080144155,0.4459408987908487,19.623514731372286,1.7373321076106398,0,8,1,0,0,0,0,0
7,2,1,3,34,91,32,4.249437392858804,0.6402689362696918,0.48669456301428393,23.47514376656479,1.7446635549581189,1,1,0,1,0,0,1,1
7,2,2,0,25,88,32,5.274688164620273,0.6551908515210737,0.5740120569759892,16.935167141809067,1.4249439684194765,4,0,3,0,0,1,1,0
7,3,1,2,25,96,32,4.395844943550124,0.27742803307080677,0.48669456301428393,23.47514376656479,1.7446635549581189,0,0,0,1,0,0,1,1
