split,best_dim,class_label,branch_index,kind,confuser_class,basis_dim,member_size,radius,class_scale,extra_bias_scale,gate_strength,seed_size,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score
1,32,1,0,root,,32,197,5.047287446622872,2.238441624307435,0.0,0.0,,,,,
1,32,1,1,extra,0,32,87,5.196367322473396,2.238441624307435,0.1,2.5,34,0.5300956671320178,0.4530659305448587,15.650647246037677,2.0346011031607993
1,32,1,2,extra,2,32,74,4.571265109727183,2.238441624307435,0.1,2.5,24,0.3607462306092175,0.465548830257064,18.37927424229918,1.2555949856574689
1,32,2,0,root,,32,242,4.923518980369513,2.988645636314228,0.0,0.0,,,,,
1,32,2,1,extra,3,32,99,4.629673327612907,2.988645636314228,0.1,2.5,40,0.5080631002739868,0.4531996987831448,24.115073021520328,2.07839769442767
1,32,2,2,extra,0,32,89,5.168351355192132,2.988645636314228,0.1,2.5,27,0.5800396790033586,0.5364513247704614,18.06934025156689,1.393333838738612
1,32,3,0,root,,32,242,4.809166063919582,2.697259034489242,0.0,0.0,,,,,
1,32,3,1,extra,2,32,103,5.056713245644818,2.697259034489242,0.1,2.5,34,0.35387417536765753,0.4531996987831448,24.115073021520328,2.07839769442767
1,32,4,0,root,,32,191,4.796472542174727,3.2620308921186303,0.0,0.0,,,,,
1,32,4,1,extra,3,32,76,4.677142444145448,3.2620308921186303,0.1,2.5,31,0.6599389855666676,0.390399272379783,23.622822301438656,1.9970346205428369
2,64,0,0,root,,64,222,5.179617195693893,1.8530307775354726,0.0,0.0,,,,,
2,64,0,1,extra,1,64,94,4.62476910941779,1.8530307775354726,0.1,2.5,33,0.321663193628294,0.44701888294192405,12.34356061258433,6.255002271731337
2,64,1,0,root,,64,233,5.037783758547763,1.9798453449333753,0.0,0.0,,,,,
2,64,1,1,extra,0,64,104,4.707153079508373,1.9798453449333753,0.1,2.5,39,0.5513062024605699,0.44701888294192405,12.34356061258433,6.255002271731337
2,64,1,2,extra,2,61,84,4.5592460588789185,1.9798453449333753,0.1,2.5,22,1.0547374179816915,0.5234157042813242,16.394714728767312,2.4020339465345835
2,64,2,0,root,,64,206,4.910290308393141,2.8059212696641853,0.0,0.0,,,,,
2,64,2,1,extra,3,64,83,4.573661278130458,2.8059212696641853,0.1,2.5,29,1.232877618172549,0.4474082686297373,23.936912769514603,2.9093938176899297
2,64,2,2,extra,1,64,77,5.116141740027844,2.8059212696641853,0.1,2.5,21,1.2074279977463354,0.5234157042813242,16.394714728767312,2.4020339465345835
2,64,3,0,root,,64,251,4.873535838226247,2.3490365603816032,0.0,0.0,,,,,
2,64,3,1,extra,2,64,108,5.011296726592735,2.3490365603816032,0.1,2.5,36,0.8302776689711375,0.4474082686297373,23.936912769514603,2.9093938176899297
2,64,4,0,root,,64,180,4.828712076615582,2.8740254686650335,0.0,0.0,,,,,
2,64,4,1,extra,3,64,71,4.848769125084878,2.8740254686650335,0.1,2.5,25,1.5336791062377308,0.3992154065765302,22.796686338211387,2.106891992365255
2,64,4,2,extra,0,62,63,4.589021654402859,2.8740254686650335,0.1,2.5,13,1.4331391509191809,0.8180169315143883,25.579924777302885,0.3207212811101381
