top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,dataset,repeat,seed,split_policy
6000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9459706959706959,0.6872427983539094,0.7236842105263158,0.6924760063805009,0.6872427983539094,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9459706959706959,0.6899862825788752,0.7192982456140351,0.6940610786116405,0.6899862825788752,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.978021978021978,0.7174211248285323,0.7412280701754386,0.7244854978001045,0.7174211248285323,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.978021978021978,0.7119341563786008,0.7368421052631579,0.7180047594373438,0.7119341563786008,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.7078189300411523,0.7346491228070176,0.7138562052887896,0.7078189300411523,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9459706959706959,0.6899862825788752,0.7171052631578947,0.6956130720175664,0.6899862825788752,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9468864468864469,0.6899862825788752,0.7214912280701754,0.695385316171833,0.6899862825788752,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.945054945054945,0.6927297668038409,0.7149122807017544,0.6978602630288023,0.6927297668038409,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.720164609053498,0.7368421052631579,0.7281077182762576,0.720164609053498,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.978021978021978,0.7133058984910837,0.7390350877192983,0.7204822356507748,0.7133058984910837,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9798534798534798,0.7160493827160493,0.7368421052631579,0.7225228195733815,0.7160493827160493,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9523809523809523,0.6941015089163237,0.7214912280701754,0.6995338703203873,0.6941015089163237,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9560439560439561,0.6927297668038409,0.7236842105263158,0.6981825189690358,0.6927297668038409,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,96,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.956959706959707,0.6968449931412894,0.7214912280701754,0.7020088171773564,0.6968449931412894,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9597069597069597,0.6886145404663924,0.7280701754385965,0.6941496136720856,0.6886145404663924,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9587912087912088,0.6899862825788752,0.7302631578947368,0.6952259591304536,0.6899862825788752,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9606227106227107,0.6968449931412894,0.7324561403508771,0.7020772159817105,0.6968449931412894,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9184981684981685,0.6666666666666666,0.7105263157894737,0.6729453662037932,0.6666666666666666,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9194139194139194,0.6652949245541838,0.7149122807017544,0.6715940148524419,0.6652949245541838,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9221611721611722,0.6721536351165981,0.7149122807017544,0.6787851345435616,0.6721536351165981,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9606227106227107,0.6858710562414266,0.7302631578947368,0.6912403038807533,0.6858710562414266,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9606227106227107,0.6899862825788752,0.7324561403508771,0.695066602089074,0.6899862825788752,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9615384615384616,0.6941015089163237,0.7346491228070176,0.6989874003918948,0.6941015089163237,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9184981684981685,0.6680384087791496,0.7105263157894737,0.6740689617094111,0.6680384087791496,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9212454212454212,0.6694101508916324,0.7127192982456141,0.6754675631080126,0.6694101508916324,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9258241758241759,0.6721536351165981,0.7171052631578947,0.6786518787923281,0.6721536351165981,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9597069597069597,0.6886145404663924,0.7280701754385965,0.6941496136720856,0.6886145404663924,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9587912087912088,0.6899862825788752,0.7302631578947368,0.6952259591304536,0.6899862825788752,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9606227106227107,0.6982167352537723,0.7302631578947368,0.7038629302674246,0.6982167352537723,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9184981684981685,0.6652949245541838,0.7105263157894737,0.6718217706981752,0.6652949245541838,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9203296703296703,0.6652949245541838,0.7149122807017544,0.6722561336325381,0.6652949245541838,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9230769230769231,0.6721536351165981,0.7149122807017544,0.6787851345435616,0.6721536351165981,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9642857142857143,0.6886145404663924,0.7302631578947368,0.6937152507377227,0.6886145404663924,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9642857142857143,0.6927297668038409,0.7280701754385965,0.6977693047917767,0.6927297668038409,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9652014652014652,0.6968449931412894,0.7390350877192983,0.7023049718274438,0.6968449931412894,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
4000,96,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9230769230769231,0.6721536351165981,0.7149122807017544,0.6781230157634652,0.6721536351165981,4000,chameleon,1,20260420,random_stratified_matching_fixed_split0_class_counts
