dataset,repeat,split_id,seed,split_policy,method,num_nodes,num_features,num_classes,train_size,val_size,test_size,lr,weight_decay,hidden_channels,dropout,train_acc,val_acc,test_acc,best_epoch,time_sec,params,selection_rule
amazon-photo,5,0,5,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.9624999761581421,0.8958333134651184,0.8769655227661133,165,155.543,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,5,0,5,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.987500011920929,0.9208333492279053,0.8824827671051025,100,51.077,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,5,0,5,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.925000011920929,0.8916666507720947,0.8467586040496826,245,104.644,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,5,0,5,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.7875000238418579,0.7208333611488342,0.6593103408813477,260,310.199,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,5,0,5,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.9125000238418579,0.8718620538711548,270,64.175,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,5,0,5,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.7833333611488342,0.6877241134643555,55,9.597,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,5,0,5,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.925000011920929,0.887499988079071,0.848827600479126,245,60.906,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,5,0,5,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.987500011920929,0.925000011920929,0.8737931251525879,130,12.321,191304,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,6,0,6,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.9375,0.862500011920929,0.8782069087028503,155,143.198,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,6,0,6,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.987500011920929,0.9125000238418579,0.8880000114440918,140,61.485,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,6,0,6,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8374999761581421,0.8041666746139526,0.8347586393356323,225,97.082,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,6,0,6,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.7437499761581421,0.7250000238418579,0.7139310240745544,290,300.637,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,6,0,6,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.8999999761581421,0.8697931170463562,45,20.888,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,6,0,6,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.6916666626930237,0.6366896629333496,90,12.539,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,6,0,6,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.84375,0.8416666388511658,0.8611034750938416,235,58.669,48264,early_stop_by_postprocessed_val_acc_only_no_test
