top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,dataset,train_per_class,repeat,method
4000,96,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.23333333333333334,0.1828463713477851,0.23333333333333334,0.23333333333333334,4000,chameleon,1,2,src_v16c
6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.21333333333333335,0.18708765315739867,0.21333333333333332,0.21333333333333335,6000,chameleon,1,2,src_v16c
6000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.20666666666666667,0.1880301602262017,0.2066666666666667,0.20666666666666667,6000,chameleon,1,2,src_v16c
6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.20666666666666667,0.1880301602262017,0.2066666666666667,0.20666666666666667,6000,chameleon,1,2,src_v16c
6000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.21333333333333335,0.18661639962299717,0.21333333333333332,0.21333333333333335,6000,chameleon,1,2,src_v16c
6000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.20666666666666667,0.1885014137606032,0.2066666666666667,0.20666666666666667,6000,chameleon,1,2,src_v16c
6000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.20666666666666667,0.18708765315739867,0.2066666666666667,0.20666666666666667,6000,chameleon,1,2,src_v16c
6000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.21333333333333335,0.18708765315739867,0.21333333333333332,0.21333333333333335,6000,chameleon,1,2,src_v16c
6000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.20666666666666667,0.1880301602262017,0.2066666666666667,0.20666666666666667,6000,chameleon,1,2,src_v16c
6000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.20666666666666667,0.1880301602262017,0.2066666666666667,0.20666666666666667,6000,chameleon,1,2,src_v16c
