stage,changed_class,trial_dim,class_dims_json,objective,val_acc,balanced_norm_true_residual,balanced_true_explained_ratio,mean_fp_rate,mean_dim_frac,accepted,reason,split,global_val_dim,global_obj_dim,base_objective,base_val_acc,fixed_vs_base,broken_vs_base,break_rate,floor_ok,val_gain_vs_global,coverage_gain_vs_global,fixed_vs_global,broken_vs_global,break_rate_vs_global,candidate_val_acc,candidate_objective,candidate_class_dims_json
greedy_pass_1,2,64,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6624560476471602,0.6844993141289437,2.128725418151693,0.44257770015431663,0.07881615504420005,0.95,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,7,8,0.016,1,,,,,,,,
greedy_pass_1,3,16,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 16, ""4"": 64}",0.6418898873238402,0.6625514403292181,1.993796475605786,0.42334485827472185,0.0833483841209377,0.75,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,18,35,0.07,1,,,,,,,,
greedy_pass_1,3,24,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 24, ""4"": 64}",0.6526650843957946,0.6735253772290809,2.0182686718420597,0.4287435580555957,0.0808790173544004,0.775,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,14,23,0.046,1,,,,,,,,
greedy_pass_1,3,32,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 32, ""4"": 64}",0.6595200773394664,0.6803840877914952,2.020606010940807,0.432040054338897,0.07930552799881445,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,13,17,0.034,1,,,,,,,,
greedy_pass_1,3,48,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 48, ""4"": 64}",0.6566895100890086,0.6776406035665294,2.0237008292177228,0.43645008205648994,0.08049427567847584,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,4,10,0.02,1,,,,,,,,
greedy_pass_1,4,16,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 16}",0.637383833024644,0.6570644718792867,1.8871538413376718,0.4181175897553162,0.08657854001436402,0.75,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,7,28,0.056,1,,,,,,,,
greedy_pass_1,4,24,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 24}",0.6508683957856918,0.6707818930041153,1.918207856652971,0.4254627118627677,0.08291347496724275,0.775,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,5,16,0.032,1,,,,,,,,
greedy_pass_1,4,32,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 32}",0.6589929779771045,0.6790123456790124,1.932416277645205,0.42989407914510025,0.08073906210180178,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,4,9,0.018,1,,,,,,,,
greedy_pass_1,4,48,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 48}",0.6611062444499658,0.6817558299039781,1.9943478372518861,0.4355086138211286,0.07990707683889751,0.85,0,no_objective_gain|val_acc_drop,6,64,24,0.6645607654277829,0.6858710562414266,2,5,0.01,1,,,,,,,,
final_keep_perclass,,,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6645607654277829,0.6858710562414266,2.0591115088522423,0.43911840901852794,0.07878246805977607,0.9,1,val_gain,6,64,24,,,,,,,0.002743484224965731,0.26377650971299804,13,11,0.02208835341365462,,,
global_init_scan,,16,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16, ""4"": 16}",0.6224522290164854,0.6378600823045267,1.39231737246443,0.3350623512144827,0.09124644841274789,1.0,0,,7,,,,,,,,,,,,,,,,
global_init_scan,,24,"{""0"": 24, ""1"": 24, ""2"": 24, ""3"": 24, ""4"": 24}",0.6280267442050638,0.644718792866941,1.535888484718511,0.36501175436307093,0.0896605416072244,1.0,0,,7,,,,,,,,,,,,,,,,
global_init_scan,,32,"{""0"": 32, ""1"": 32, ""2"": 32, ""3"": 32, ""4"": 32}",0.6285335727943587,0.6460905349794238,1.6320514834315882,0.3878600030219833,0.08939436814186186,1.0,0,,7,,,,,,,,,,,,,,,,
global_init_scan,,48,"{""0"": 48, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 48}",0.6334565193376989,0.6529492455418381,1.8398859067772482,0.41432302379894,0.08755796157812071,1.0,0,,7,,,,,,,,,,,,,,,,
global_init_scan,,64,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6289350408812349,0.6529492455418381,2.2996839811071927,0.4331483047385234,0.08749790342427038,1.0,0,,7,,,,,,,,,,,,,,,,
global_init_accept,,48,"{""0"": 48, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 48}",0.6334565193376989,0.6529492455418381,1.8398859067772482,0.41432302379894,0.08755796157812071,1.0,1,best_global_val_anchor,7,48,48,,,,,,,,,,,,,,
greedy_pass_0,0,16,"{""0"": 16, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 48}",0.6349443984181469,0.6529492455418381,1.6985685660103258,0.39934868847910676,0.08749447754188491,0.8666666666666667,0,protected_class_0_dim_below_32|break_rate_high,7,48,48,0.6334565193376989,0.6529492455418381,24,24,0.05042016806722689,0,,,,,,,,
greedy_pass_0,0,24,"{""0"": 24, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 48}",0.6345615793728316,0.6529492455418381,1.7357537747316005,0.40496827841617494,0.0875000767677621,0.9,0,protected_class_0_dim_below_32|break_rate_high,7,48,48,0.6334565193376989,0.6529492455418381,18,18,0.037815126050420166,0,,,,,,,,
greedy_pass_0,0,32,"{""0"": 32, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 48}",0.6288815063360531,0.6474622770919067,1.7505211095010034,0.4089427325672907,0.08889986288896681,0.9333333333333332,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6334565193376989,0.6529492455418381,8,12,0.025210084033613446,1,,,,,,,,
greedy_pass_0,0,64,"{""0"": 64, ""1"": 48, ""2"": 48, ""3"": 48, ""4"": 48}",0.6248990372275962,0.6460905349794238,2.0278443960737085,0.41840499056157004,0.08933368766683877,0.8,0,no_objective_gain|val_acc_drop,7,48,48,0.6334565193376989,0.6529492455418381,2,7,0.014705882352941176,1,,,,,,,,
greedy_pass_0,1,16,"{""0"": 48, ""1"": 16, ""2"": 48, ""3"": 48, ""4"": 48}",0.6261678656287013,0.644718792866941,1.747328334652373,0.3956820380700196,0.08968526886646615,0.8666666666666667,0,protected_class_1_dim_below_32|no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6334565193376989,0.6529492455418381,12,18,0.037815126050420166,0,,,,,,,,
greedy_pass_0,1,24,"{""0"": 48, ""1"": 24, ""2"": 48, ""3"": 48, ""4"": 48}",0.6397494383798851,0.6584362139917695,1.7671310077179037,0.4022789435293178,0.08622906544113255,0.9,0,protected_class_1_dim_below_32,7,48,48,0.6334565193376989,0.6529492455418381,11,7,0.014705882352941176,0,,,,,,,,
greedy_pass_0,1,32,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 48, ""4"": 48}",0.6366097372296574,0.6556927297668038,1.8040977283368012,0.4073947530937426,0.08691304664099656,0.9333333333333332,0,candidate_ok,7,48,48,0.6334565193376989,0.6529492455418381,9,7,0.014705882352941176,1,,,,,,,,
greedy_pass_0,1,64,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 48, ""4"": 48}",0.6257965323226815,0.6460905349794238,1.9386593724323298,0.4189369002242155,0.08915782666579145,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6334565193376989,0.6529492455418381,6,11,0.023109243697478993,1,,,,,,,,
greedy_pass_0_accept,1,32,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 48, ""4"": 48}",0.6366097372296574,0.6556927297668038,1.8040977283368012,0.4073947530937426,0.08691304664099656,0.9333333333333332,1,best_class_coordinate_update,7,48,48,,,9,7,0.014705882352941176,,,,,,,,,
greedy_pass_0,2,16,"{""0"": 48, ""1"": 32, ""2"": 16, ""3"": 48, ""4"": 48}",0.6139725851989053,0.6323731138545954,1.7312033513394653,0.39319222975406953,0.09306320306558626,0.7999999999999999,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6366097372296574,0.6556927297668038,14,31,0.06485355648535565,1,,,,,,,,
greedy_pass_0,2,24,"{""0"": 48, ""1"": 32, ""2"": 24, ""3"": 48, ""4"": 48}",0.6248540694051192,0.6433470507544582,1.745018156234592,0.3988630886288479,0.09024594040875536,0.8333333333333334,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6366097372296574,0.6556927297668038,11,20,0.04184100418410042,1,,,,,,,,
greedy_pass_0,2,32,"{""0"": 48, ""1"": 32, ""2"": 32, ""3"": 48, ""4"": 48}",0.6259510868070233,0.644718792866941,1.7719050681653576,0.4034168989191068,0.08978281536369166,0.8666666666666667,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6366097372296574,0.6556927297668038,7,15,0.03138075313807531,1,,,,,,,,
greedy_pass_0,2,64,"{""0"": 48, ""1"": 32, ""2"": 64, ""3"": 48, ""4"": 48}",0.6388116354472303,0.6584362139917695,1.8796002801764047,0.410514345240453,0.08603165618684613,0.75,0,break_rate_high,7,48,48,0.6366097372296574,0.6556927297668038,12,10,0.02092050209205021,1,,,,,,,,
greedy_pass_0,3,16,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 16, ""4"": 48}",0.6301238373470686,0.6488340192043895,1.773533028478027,0.3929730889628636,0.0873371964196055,0.7999999999999999,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6366097372296574,0.6556927297668038,28,33,0.06903765690376569,1,,,,,,,,
greedy_pass_0,3,24,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 24, ""4"": 48}",0.6312107101196099,0.6502057613168725,1.8005250078475243,0.39809528327384297,0.08744244592746801,0.8333333333333334,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6366097372296574,0.6556927297668038,13,17,0.03556485355648536,1,,,,,,,,
greedy_pass_0,3,32,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 32, ""4"": 48}",0.6339251659864596,0.6529492455418381,1.8026778796405991,0.4027756253902116,0.08708682969332637,0.8666666666666667,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6366097372296574,0.6556927297668038,8,10,0.02092050209205021,1,,,,,,,,
greedy_pass_0,3,64,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 64, ""4"": 48}",0.6351342136273566,0.654320987654321,1.8327333035124806,0.41029153632687054,0.0875303568573573,0.75,0,no_objective_gain|val_acc_drop,7,48,48,0.6366097372296574,0.6556927297668038,3,4,0.008368200836820083,1,,,,,,,,
greedy_pass_0,4,16,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 48, ""4"": 16}",0.6143318796140937,0.6323731138545954,1.6938631837718912,0.390373589028591,0.09320483794485454,0.7999999999999999,0,no_objective_gain|val_acc_drop|break_rate_high,7,48,48,0.6366097372296574,0.6556927297668038,5,22,0.04602510460251046,1,,,,,,,,
