experiment,dataset,split,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,pca_dims_json,selection_rule
E05,squirrel,0,fixed_geom_gcn_split,ridge_only,src_v16c_ablation,2496,1664,1041,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",0.9603365384615384,0.5985576923076923,0.6186359269932757,0.5998133440192727,18801,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,single_alpha,src_v16c_ablation,2496,1664,1041,6000,96,0.95,"(1.0,)",0.6,full,[1.0],0.936698717948718,0.5931490384615384,0.5821325648414986,0.5940584101306001,18801,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,fixed_dim64_energy095,src_v16c_ablation,2496,1664,1041,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9567307692307693,0.6123798076923077,0.6215177713736791,0.6135339117747675,18801,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,raw_only,src_v16c_ablation,2496,1664,1041,4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,raw_only,"[0.05, 0.5, 5.0]",0.9543269230769231,0.28966346153846156,0.30067243035542746,0.2898580886967828,2089,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,row_lowpass_only,src_v16c_ablation,2496,1664,1041,4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,row_lowpass_only,"[0.01, 0.1, 1.0]",0.9194711538461539,0.5919471153846154,0.5811719500480308,0.5931325637999226,8356,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,full,src_v16c_ablation,2496,1664,1041,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9803685897435898,0.5967548076923077,0.6292026897214217,0.5998251456944549,18801,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,no_p3,src_v16c_ablation,2496,1664,1041,6000,96,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",0.9879807692307693,0.5961538461538461,0.6186359269932757,0.5995686524376973,16712,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,no_sym,src_v16c_ablation,2496,1664,1041,4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",0.9619391025641025,0.5793269230769231,0.6071085494716618,0.5826750804865185,12534,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,no_highpass,src_v16c_ablation,2496,1664,1041,6000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_highpass,"[0.01, 0.1, 1.0]",0.9667467948717948,0.6075721153846154,0.6292026897214217,0.6108791317848752,12534,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,1,fixed_geom_gcn_split,pca_only,src_v16c_ablation,2496,1664,1041,4000,96,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",0.9290865384615384,0.5649038461538461,0.5878962536023055,0.566698493579602,18801,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
