dataset,ablation,n,val_mean,val_std,test_mean,test_std
chameleon,ridge_only,2,0.7057613168724279,0.03006901264304934,0.7236842105263158,0.00620269106303991
chameleon,row_lowpass_only,2,0.7057613168724279,0.03200894894260089,0.7105263157894737,0.015506727657599697
chameleon,single_alpha,2,0.6899862825788752,0.04267859859013462,0.7116228070175439,0.029462782549439414
cornell,fixed_dim64_energy095,2,0.7796610169491526,0.047939442792308336,0.7162162162162162,0.01911099408612287
cornell,full,2,0.788135593220339,0.03595458209423129,0.7162162162162162,0.01911099408612287
cornell,no_highpass,2,0.7796610169491526,0.047939442792308336,0.6891891891891893,0.05733298225836872
cornell,no_p3,2,0.7966101694915255,0.02396972139615421,0.7162162162162162,0.01911099408612287
cornell,no_sym,2,0.7966101694915254,0.047939442792308336,0.7567567567567568,0.07644397634449163
cornell,pca_only,2,0.771186440677966,0.03595458209423117,0.6891891891891893,0.05733298225836872
cornell,raw_only,2,0.8135593220338984,0.047939442792308294,0.7297297297297297,0.0
cornell,ridge_only,2,0.7542372881355932,0.0838940248865395,0.7432432432432432,0.05733298225836872
cornell,row_lowpass_only,2,0.7966101694915254,0.047939442792308336,0.7027027027027026,0.03822198817224578
cornell,single_alpha,2,0.788135593220339,0.03595458209423129,0.7027027027027026,0.03822198817224578
squirrel,fixed_dim64_energy095,2,0.6042668269230769,0.011473487435118238,0.6248799231508165,0.0047548006419845
squirrel,full,2,0.6048677884615385,0.011473487435118317,0.6268011527377522,0.0033962861728460045
squirrel,no_highpass,2,0.6138822115384616,0.008923823560647522,0.6243996157540825,0.006792572345692126
squirrel,no_p3,2,0.6039663461538461,0.011048543456039806,0.6143131604226706,0.0061133151111228785
squirrel,no_sym,2,0.5850360576923077,0.008073935602490577,0.5989433237271854,0.01154737298767651
squirrel,pca_only,2,0.5841346153846154,0.02719641466102108,0.5912584053794429,0.0047548006419845
squirrel,raw_only,2,0.2881610576923077,0.002124719895392282,0.2934678194044188,0.010188858518538112
squirrel,ridge_only,2,0.5928485576923077,0.008073935602490577,0.617195004803074,0.0020377717037076658
squirrel,row_lowpass_only,2,0.5829326923076923,0.012748319372353576,0.579731027857829,0.0020377717037076658
squirrel,single_alpha,2,0.5841346153846154,0.012748319372353654,0.5878962536023055,0.008151086814830505
texas,fixed_dim64_energy095,2,0.8389830508474576,0.03595458209423117,0.8378378378378378,0.0
texas,full,2,0.8389830508474576,0.03595458209423117,0.8378378378378378,0.0
texas,no_highpass,2,0.8305084745762712,0.0,0.7972972972972974,0.019110994086122986
texas,no_p3,2,0.8559322033898304,0.011984860698077084,0.8378378378378378,0.0
texas,no_sym,2,0.8305084745762712,0.047939442792308336,0.8378378378378378,0.0
texas,pca_only,2,0.7372881355932204,0.035954582094231254,0.7567567567567568,0.038221988172245855
texas,raw_only,2,0.788135593220339,0.011984860698077044,0.8378378378378378,0.07644397634449163
texas,ridge_only,2,0.847457627118644,0.02396972139615413,0.8783783783783784,0.01911099408612287
texas,row_lowpass_only,2,0.8305084745762712,0.0,0.8378378378378379,0.038221988172245855
texas,single_alpha,2,0.8389830508474576,0.03595458209423117,0.8378378378378379,0.038221988172245855
wisconsin,fixed_dim64_energy095,2,0.8,0.03535533905932737,0.8235294117647058,0.055459355387180276
wisconsin,full,2,0.8,0.03535533905932737,0.8235294117647058,0.055459355387180276
wisconsin,no_highpass,2,0.76875,0.00883883476483193,0.7745098039215687,0.09705387192756532
