split,kind,true_class,other_class,count,class_label,debug_index,confuser,seed_size,group_size,median_gain,extra_dim
4,branch_debug,,,,2,1,3,25,76,0.9296731289433611,32
4,branch_debug,,,,3,0,2,39,104,0.47133954026708524,24
4,branch_debug,,,,3,1,4,27,94,0.3893797538253808,24
4,branch_debug,,,,4,0,3,20,72,0.9043842278539402,32
5,oof_root_confusion,0,4,6,,,,,,,
5,oof_root_confusion,0,2,11,,,,,,,
5,oof_root_confusion,0,1,15,,,,,,,
5,oof_root_confusion,0,3,11,,,,,,,
5,oof_root_confusion,1,0,50,,,,,,,
5,oof_root_confusion,1,3,14,,,,,,,
5,oof_root_confusion,1,2,19,,,,,,,
5,oof_root_confusion,1,4,9,,,,,,,
5,oof_root_confusion,2,4,28,,,,,,,
5,oof_root_confusion,2,1,16,,,,,,,
5,oof_root_confusion,2,3,33,,,,,,,
5,oof_root_confusion,2,0,30,,,,,,,
5,oof_root_confusion,3,2,31,,,,,,,
5,oof_root_confusion,3,4,19,,,,,,,
5,oof_root_confusion,3,1,8,,,,,,,
5,oof_root_confusion,3,0,17,,,,,,,
5,oof_root_confusion,4,2,14,,,,,,,
5,oof_root_confusion,4,3,18,,,,,,,
5,oof_root_confusion,4,0,12,,,,,,,
5,oof_root_confusion,4,1,3,,,,,,,
5,branch_debug,,,,0,0,1,15,88,0.33535813970908657,64
5,branch_debug,,,,1,0,0,50,105,0.5249153639524899,48
5,branch_debug,,,,1,1,2,19,81,0.9407591739821752,48
5,branch_debug,,,,2,0,3,33,92,0.9330328179317298,48
5,branch_debug,,,,2,1,0,30,94,0.843388825841485,48
5,branch_debug,,,,3,0,2,31,98,0.5930327329591114,48
5,branch_debug,,,,3,1,0,17,86,1.083116671992152,48
5,branch_debug,,,,4,0,3,18,67,1.5412093124536814,64
5,branch_debug,,,,4,1,0,12,64,1.3134583442617,63
6,oof_root_confusion,0,4,2,,,,,,,
6,oof_root_confusion,0,2,15,,,,,,,
6,oof_root_confusion,0,1,36,,,,,,,
6,oof_root_confusion,0,3,18,,,,,,,
6,oof_root_confusion,1,2,21,,,,,,,
6,oof_root_confusion,1,3,19,,,,,,,
6,oof_root_confusion,1,0,25,,,,,,,
6,oof_root_confusion,1,4,10,,,,,,,
6,oof_root_confusion,2,4,20,,,,,,,
6,oof_root_confusion,2,3,36,,,,,,,
6,oof_root_confusion,2,1,29,,,,,,,
6,oof_root_confusion,2,0,19,,,,,,,
6,oof_root_confusion,3,1,11,,,,,,,
6,oof_root_confusion,3,4,20,,,,,,,
6,oof_root_confusion,3,2,19,,,,,,,
6,oof_root_confusion,3,0,6,,,,,,,
6,oof_root_confusion,4,2,15,,,,,,,
6,oof_root_confusion,4,3,40,,,,,,,
6,oof_root_confusion,4,1,4,,,,,,,
6,oof_root_confusion,4,0,1,,,,,,,
6,branch_debug,,,,1,0,0,25,88,0.27531966249663886,24
6,branch_debug,,,,1,1,2,21,81,0.2661935863558704,24
6,branch_debug,,,,2,0,3,36,88,0.45723287856946127,24
6,branch_debug,,,,2,1,1,29,88,0.5246151564340535,24
6,branch_debug,,,,3,0,4,20,96,0.3573816866009669,32
6,branch_debug,,,,4,0,3,40,86,0.398482053447216,24
7,oof_root_confusion,0,2,25,,,,,,,
7,oof_root_confusion,0,4,4,,,,,,,
7,oof_root_confusion,0,3,7,,,,,,,
7,oof_root_confusion,0,1,12,,,,,,,
7,oof_root_confusion,1,0,52,,,,,,,
7,oof_root_confusion,1,2,35,,,,,,,
7,oof_root_confusion,1,3,10,,,,,,,
7,oof_root_confusion,1,4,13,,,,,,,
7,oof_root_confusion,2,4,24,,,,,,,
7,oof_root_confusion,2,1,12,,,,,,,
7,oof_root_confusion,2,3,37,,,,,,,
7,oof_root_confusion,2,0,27,,,,,,,
7,oof_root_confusion,3,0,18,,,,,,,
7,oof_root_confusion,3,4,16,,,,,,,
7,oof_root_confusion,3,2,27,,,,,,,
7,oof_root_confusion,3,1,2,,,,,,,
7,oof_root_confusion,4,2,25,,,,,,,
7,oof_root_confusion,4,0,8,,,,,,,
7,oof_root_confusion,4,3,21,,,,,,,
7,oof_root_confusion,4,1,1,,,,,,,
7,branch_debug,,,,0,0,2,25,89,0.36444784949018416,48
7,branch_debug,,,,1,0,0,52,105,0.43788791620122725,24
7,branch_debug,,,,2,0,3,37,92,0.9977503790233968,48
7,branch_debug,,,,2,1,0,27,88,0.8670934836130946,48
7,branch_debug,,,,3,0,2,27,97,0.64871723608975,48
7,branch_debug,,,,3,1,0,18,93,1.0319326522785108,48
7,branch_debug,,,,4,0,2,25,71,1.381935859933185,48
8,oof_root_confusion,0,3,13,,,,,,,
8,oof_root_confusion,0,2,11,,,,,,,
8,oof_root_confusion,0,1,29,,,,,,,
8,oof_root_confusion,0,4,5,,,,,,,
8,oof_root_confusion,1,0,35,,,,,,,
8,oof_root_confusion,1,3,9,,,,,,,
8,oof_root_confusion,1,2,23,,,,,,,
8,oof_root_confusion,1,4,7,,,,,,,
8,oof_root_confusion,2,0,19,,,,,,,
8,oof_root_confusion,2,1,26,,,,,,,
8,oof_root_confusion,2,4,15,,,,,,,
8,oof_root_confusion,2,3,37,,,,,,,
8,oof_root_confusion,3,4,18,,,,,,,
8,oof_root_confusion,3,2,31,,,,,,,
8,oof_root_confusion,3,0,7,,,,,,,
8,oof_root_confusion,3,1,9,,,,,,,
8,oof_root_confusion,4,2,24,,,,,,,
8,oof_root_confusion,4,3,35,,,,,,,
8,oof_root_confusion,4,0,7,,,,,,,
8,oof_root_confusion,4,1,6,,,,,,,
8,branch_debug,,,,0,0,1,29,94,0.3797170846083987,48
8,branch_debug,,,,1,0,0,35,95,0.5306024850725395,48
8,branch_debug,,,,1,1,2,23,84,0.9950686236108233,48
8,branch_debug,,,,2,0,3,37,89,1.2001156061161264,64
8,branch_debug,,,,2,1,1,26,88,1.1369152553043935,64
8,branch_debug,,,,3,0,2,31,107,0.7798878418942441,64
8,branch_debug,,,,4,0,3,35,79,1.3501631750343073,64
9,oof_root_confusion,0,3,16,,,,,,,
9,oof_root_confusion,0,2,19,,,,,,,
9,oof_root_confusion,0,1,16,,,,,,,
9,oof_root_confusion,0,4,5,,,,,,,
9,oof_root_confusion,1,0,45,,,,,,,
9,oof_root_confusion,1,2,35,,,,,,,
9,oof_root_confusion,1,3,14,,,,,,,
9,oof_root_confusion,1,4,3,,,,,,,
9,oof_root_confusion,2,4,26,,,,,,,
9,oof_root_confusion,2,1,16,,,,,,,
9,oof_root_confusion,2,0,24,,,,,,,
9,oof_root_confusion,2,3,35,,,,,,,
9,oof_root_confusion,3,2,22,,,,,,,
9,oof_root_confusion,3,4,21,,,,,,,
9,oof_root_confusion,3,0,16,,,,,,,
9,oof_root_confusion,3,1,4,,,,,,,
9,oof_root_confusion,4,3,24,,,,,,,
9,oof_root_confusion,4,0,11,,,,,,,
9,oof_root_confusion,4,2,12,,,,,,,
9,oof_root_confusion,4,1,1,,,,,,,
9,branch_debug,,,,0,0,2,19,84,0.2942895784136834,48
9,branch_debug,,,,0,1,1,16,87,0.27594100972931246,48
9,branch_debug,,,,1,0,0,45,110,0.2502384615219698,32
9,branch_debug,,,,2,0,3,35,87,0.9627692975903877,48
9,branch_debug,,,,2,1,0,24,80,0.9940011832636451,48
9,branch_debug,,,,3,0,2,22,94,0.9464234135796508,64
9,branch_debug,,,,3,1,0,16,85,1.325674074985745,64
9,branch_debug,,,,4,0,3,24,65,1.471009331220206,64
9,branch_debug,,,,4,1,0,11,61,1.307102213530976,60


