stage,changed_class,trial_dim,class_dims_json,objective,val_acc,balanced_norm_true_residual,balanced_true_explained_ratio,mean_fp_rate,mean_dim_frac,accepted,reason,split,base_objective,base_val_acc,fixed_vs_base,broken_vs_base,break_rate
greedy_pass_0,2,32,"{""0"": 48, ""1"": 64, ""2"": 32, ""3"": 64, ""4"": 64}",0.6596470719220842,0.6790123456790124,1.8638540972458109,0.43587520471200236,0.08101168016590371,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,12,28,0.0547945205479452
greedy_pass_0,2,48,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6690582342533273,0.6886145404663924,1.885598836649633,0.4425250257298612,0.07852089747440474,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,6,15,0.029354207436399216
greedy_pass_0,3,16,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 16, ""4"": 64}",0.6636303903819324,0.6831275720164609,1.883273658977823,0.4277772374163538,0.07877769972078572,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,29,42,0.0821917808219178
greedy_pass_0,3,24,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 24, ""4"": 64}",0.6687628022500414,0.6886145404663924,1.9213941316576784,0.4345538843919726,0.07755062186710887,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,24,33,0.06457925636007827
greedy_pass_0,3,32,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 32, ""4"": 64}",0.6715101904260475,0.691358024691358,1.9209815227062699,0.4394276372386988,0.0772864793601267,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,9,16,0.03131115459882583
greedy_pass_0,3,48,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 48, ""4"": 64}",0.6728054422015499,0.6927297668038409,1.925567983151815,0.44375905110222835,0.07718404875908605,0.9,0,no_objective_gain|val_acc_drop,3,0.6807792942893794,0.700960219478738,1,7,0.0136986301369863
greedy_pass_0,4,16,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 16}",0.6330517825293651,0.6515775034293553,1.766720083525437,0.4263824452080011,0.08820249227838725,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,8,44,0.08610567514677103
greedy_pass_0,4,24,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 24}",0.6435715772279564,0.6625514403292181,1.8178001661430732,0.4325901820952443,0.08536110841059495,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,5,33,0.06457925636007827
greedy_pass_0,4,32,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 32}",0.6558205505633318,0.6748971193415638,1.8327416379949326,0.4360193138621627,0.08216148268657289,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,4,23,0.04500978473581213
greedy_pass_0,4,48,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 48}",0.6704882505368147,0.6899862825788752,1.8802974502166308,0.4425794457305933,0.07826876614082816,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,3,11,0.021526418786692758
greedy_pass_1,0,16,"{""0"": 16, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6580831422134253,0.6776406035665294,1.880277834598757,0.43109751827773657,0.08145365401137915,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,15,32,0.06262230919765166
greedy_pass_1,0,24,"{""0"": 24, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.67731228028013,0.6968449931412894,1.8877848514963436,0.4378717533617921,0.0765675679821631,0.875,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,15,18,0.03522504892367906
greedy_pass_1,0,32,"{""0"": 32, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6757558287698441,0.6954732510288066,1.90448475454562,0.44118864269435526,0.07686646421418701,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,9,13,0.025440313111545987
greedy_pass_1,0,64,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6724681811183558,0.6941015089163237,2.0898058620285727,0.4513826898533441,0.07703999685477952,1.0,0,no_objective_gain|val_acc_drop,3,0.6807792942893794,0.700960219478738,2,7,0.0136986301369863
greedy_pass_1,1,16,"{""0"": 48, ""1"": 16, ""2"": 64, ""3"": 64, ""4"": 64}",0.6577365402202262,0.6762688614540466,1.7798080556614824,0.42331123945309157,0.08137428175089463,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,21,39,0.07632093933463796
greedy_pass_1,1,24,"{""0"": 48, ""1"": 24, ""2"": 64, ""3"": 64, ""4"": 64}",0.6673047160432811,0.6858710562414266,1.788137292773413,0.4300672797820521,0.07901181947698446,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,19,30,0.05870841487279843
greedy_pass_1,1,32,"{""0"": 48, ""1"": 32, ""2"": 64, ""3"": 64, ""4"": 64}",0.6753505147440345,0.6941015089163237,1.8105231723708415,0.43608486612548775,0.07700509565413562,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,12,17,0.033268101761252444
greedy_pass_1,1,48,"{""0"": 48, ""1"": 48, ""2"": 64, ""3"": 64, ""4"": 64}",0.6804874654065428,0.6995884773662552,1.8453839866440365,0.4416689472167709,0.07569239410695501,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,7,8,0.015655577299412915
greedy_pass_1,2,16,"{""0"": 48, ""1"": 64, ""2"": 16, ""3"": 64, ""4"": 64}",0.6531085971589359,0.6721536351165981,1.8299747098097108,0.4275139160808335,0.08276732619442384,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,16,37,0.07240704500978473
greedy_pass_1,2,24,"{""0"": 48, ""1"": 64, ""2"": 24, ""3"": 64, ""4"": 64}",0.6598064420542152,0.6790123456790124,1.8490146989314595,0.4323068694881962,0.08099920567176509,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,13,29,0.05675146771037182
greedy_pass_1,2,32,"{""0"": 48, ""1"": 64, ""2"": 32, ""3"": 64, ""4"": 64}",0.6596470719220842,0.6790123456790124,1.8638540972458109,0.43587520471200236,0.08101168016590371,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,12,28,0.0547945205479452
greedy_pass_1,2,48,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6690582342533273,0.6886145404663924,1.885598836649633,0.4425250257298612,0.07852089747440474,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,6,15,0.029354207436399216
greedy_pass_1,3,16,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 16, ""4"": 64}",0.6636303903819324,0.6831275720164609,1.883273658977823,0.4277772374163538,0.07877769972078572,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,29,42,0.0821917808219178
greedy_pass_1,3,24,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 24, ""4"": 64}",0.6687628022500414,0.6886145404663924,1.9213941316576784,0.4345538843919726,0.07755062186710887,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,24,33,0.06457925636007827
