split,class_i,branch_i,kind_i,class_j,branch_j,kind_j,center_l2_distance,center_sq_distance,subspace_overlap_fro,mean_cos2_principal,min_principal_angle_deg
0,0,1,extra,2,1,extra,0.45186307875622395,0.2041802419430534,3.0135130794048677,0.1418947043710033,18.26221991332214
0,0,1,extra,2,2,extra,1.2837553377229636,1.6480277671322003,2.1173975943260044,0.07005269644464922,17.878795510204363
0,0,1,extra,3,0,root,1.0845411416707629,1.1762294879765218,2.438440989730978,0.12387488459167066,25.462254196146652
0,0,1,extra,3,1,extra,1.4843188386198398,2.2032024146817504,1.619897761071527,0.054668099090094686,41.440145415608946
0,0,1,extra,3,2,extra,1.0083987308282265,1.0168680003359785,2.411945728971749,0.12119754582302218,26.903947264820534
0,0,1,extra,4,0,root,1.1800214854321638,1.3924507060815303,2.2519684374250812,0.07924002879935568,31.975400647341633
0,0,1,extra,4,1,extra,1.5181440394527674,2.3047613245259657,1.3918568089303205,0.030269771508838982,50.525243300782954
0,0,1,extra,4,2,extra,1.010189999002705,1.020483834085085,2.290269861166223,0.08195837557759922,33.88059085673474
0,0,2,extra,1,0,root,0.517807642161337,0.2681247542806832,3.3040112534629937,0.2274268825627105,13.37954316734834
0,0,2,extra,1,1,extra,0.49172644991567027,0.24179490154666816,3.2541872235179303,0.2206194684522362,13.125188428227121
0,0,2,extra,1,2,extra,0.6871532968727438,0.4721796534030812,2.8487880472094456,0.16907486120673768,12.624938675503442
0,0,2,extra,2,0,root,0.7074200435633053,0.5004431180351085,3.081303918807253,0.1483505287508897,15.710857744824134
0,0,2,extra,2,1,extra,0.4539943221497494,0.20611084454421041,3.1201303489199077,0.15211270928517293,15.43770303311157
0,0,2,extra,2,2,extra,1.1103560859804775,1.2328906376738853,2.1869190089717803,0.07472835549690808,16.38059530369499
0,0,2,extra,3,0,root,0.9080439363354799,0.8245437903156332,2.5349243272967117,0.13387169469001434,25.69675200332443
0,0,2,extra,3,1,extra,1.3166796168742174,1.7336452134920364,1.6222650908472207,0.05482800052044878,42.64767843972339
0,0,2,extra,3,2,extra,0.9357354127881402,0.8756007627457911,2.3818826897783367,0.11819510724720168,26.36272133144863
0,0,2,extra,4,0,root,0.9856632591302945,0.9715320603993542,2.4411978738022344,0.0931163602977586,30.73927625501801
0,0,2,extra,4,1,extra,1.3523386641881208,1.8288198626581114,1.4716388774434372,0.033839390400046555,47.09650428575565
0,0,2,extra,4,2,extra,0.8398171302680684,0.7052928122916939,2.34712933739704,0.08607837697609166,31.513298368561976
0,1,0,root,1,1,extra,0.5594004450967381,0.31292885797442876,4.436073523045263,0.4099739229554835,3.538219276207925
0,1,0,root,1,2,extra,0.3653935681720688,0.13351245966151631,4.9072342239541396,0.5016864110155582,0.7216798616905336
0,1,0,root,2,0,root,0.49326280465154854,0.24330819445271168,3.194675641068376,0.21262400940907578,17.15886965557845
0,1,0,root,2,1,extra,0.5611025017782983,0.3148360175018653,2.775145266543507,0.16044648438372566,20.95924757501051
0,1,0,root,2,2,extra,0.8755454356141024,0.7665798098246881,2.5304213851685957,0.13339650805246991,18.15264281648023
0,1,0,root,3,0,root,0.6601364550941627,0.4357801393442875,2.7007153959279044,0.15195549270420874,25.326952885293448
0,1,0,root,3,1,extra,1.0882068526364355,1.1841941541248966,2.1247568907961094,0.09405399677053228,36.431558649968636
0,1,0,root,3,2,extra,0.8244531634591168,0.6797230187377452,2.1713352311789342,0.0982228476283099,29.363297548756595
0,1,0,root,4,0,root,0.742672754589566,0.5515628204096538,2.5522231058394214,0.1357050579579296,28.016588434872226
0,1,0,root,4,1,extra,1.1280501687013464,1.272497183107136,1.7803624764131922,0.06603521973791908,41.49221773757368
0,1,0,root,4,2,extra,0.6452968063706094,0.4164079683121078,2.255417646850905,0.10597726586930149,30.814094551889895
0,1,1,extra,1,2,extra,0.8232143277412206,0.6776818293984299,3.3778297284052536,0.23770278487704818,0.5558243957001576
0,1,1,extra,2,0,root,0.9220440854614029,0.850165295534355,2.430762135674957,0.12309592833814749,21.16389314599753
0,1,1,extra,2,1,extra,0.4886192934306058,0.23874881391262442,3.0426475729659512,0.1928688386099083,20.311193178469942
0,1,1,extra,2,2,extra,1.3182744210110877,1.7378474490921185,1.9176763720962,0.07661422225200092,22.92469096260563
0,1,1,extra,3,0,root,1.0937583050792048,1.196307229929735,2.008048520505695,0.08400539293135655,29.19221972389256
0,1,1,extra,3,1,extra,1.5129887570365192,2.2891349789189115,1.3815853722618783,0.03976621126766653,46.479950013091646
0,1,1,extra,3,2,extra,0.9711367120589846,0.9431065135087352,2.1667428692804407,0.0978078054495341,30.830540545265542
0,1,1,extra,4,0,root,1.1983462922014556,1.4360338360329767,1.905193095465663,0.07562001522937571,33.9591917563064
0,1,1,extra,4,1,extra,1.5441877688336247,2.3845158654153686,1.1617050432336005,0.028115804322382938,59.378257729311414
0,1,1,extra,4,2,extra,1.0084905100410926,1.0170531088429426,2.102704046766885,0.09211175642270497,35.87469709441478
0,1,2,extra,2,0,root,0.3960041319448478,0.15681927251739242,3.0588904143956768,0.1949335534850366,18.86209038027349
0,1,2,extra,2,1,extra,0.7837469683499835,0.6142593103977898,2.049122392758478,0.08747713709383813,23.006988740064962
0,1,2,extra,2,2,extra,0.6451569778368723,0.4162275260516065,2.6737257469222033,0.14893352853655614,18.68485040365709
0,1,2,extra,3,0,root,0.5537437914185558,0.3066321865345971,2.429931538417761,0.12301181836244385,29.368216111107213
0,1,2,extra,3,1,extra,0.878559795866017,0.7718673149121372,2.2003594046241366,0.10086628144828931,35.2401095644901
0,1,2,extra,3,2,extra,0.9548443993721831,0.9117278270124254,1.640736119239002,0.05608364610365543,32.41577344333176
0,1,2,extra,4,0,root,0.585046547881096,0.34227946318758773,2.408393028987746,0.12084077045993276,31.663035875511135
0,1,2,extra,4,1,extra,0.9285234826326172,0.8621558578002042,1.9278440840485465,0.07742880859168703,40.25085333115948
0,1,2,extra,4,2,extra,0.6272411080183976,0.39343140758814715,2.029411669983287,0.08580232763050744,33.18209170085909
0,2,0,root,2,1,extra,0.7200828853825109,0.5185193618208023,4.665706515067465,0.34013777007410906,0.6082125632596952
0,2,0,root,2,2,extra,0.5093090124122968,0.2593956701243889,5.179153284674943,0.4191191991587384,0.5229146301294697
0,2,0,root,3,0,root,0.4417666160266419,0.1951577430356305,3.271223875874974,0.22293553429363508,23.063501549173345
0,2,0,root,3,1,extra,0.7714622439507581,0.595153993841539,2.9692149655150377,0.18367161482163474,27.16993764720584
0,2,0,root,3,2,extra,0.9450741609504477,0.8931651696961932,2.354523477436143,0.11549543345412472,29.018541327803984
0,2,0,root,4,0,root,0.4284842358882584,0.1835987404047447,3.19856656343593,0.15985668844891157,24.24253731381565
0,2,0,root,4,1,extra,0.8210534168137417,0.6741287132615199,2.3456951652337223,0.08597321575313843,28.234741857874006
0,2,0,root,4,2,extra,0.5196250662685722,0.27001020949461807,2.502000731308239,0.09781261967917129,27.856809201849757
0,2,1,extra,2,2,extra,1.1709050900438056,1.3710187298904926,2.8086021141041373,0.12325384117734736,0.8993056487967354
0,2,1,extra,3,0,root,0.9652114061511321,0.9316330585642456,2.1684964005327103,0.09796617998173585,30.565106456187134
0,2,1,extra,3,1,extra,1.3758796235461486,1.8930447384894917,1.410233029209187,0.04143244159734415,50.27140453580985
0,2,1,extra,3,2,extra,0.9460766241189402,0.8950609787042907,2.3732088123318538,0.11733583472769936,30.387878665315146
0,2,1,extra,4,0,root,1.0387209237083912,1.0789411573496137,2.1913833900954955,0.0750337681622879,33.739832231866146
0,2,1,extra,4,1,extra,1.4088792460649413,1.984940729992517,1.4723701812117813,0.033873030476900226,50.885590022764525
0,2,1,extra,4,2,extra,0.857681726109999,0.7356179433030274,2.4058360382828345,0.09043823504844443,34.711150671739006
0,2,2,extra,3,0,root,0.5490672728056949,0.3014748700662835,2.617253954694061,0.1427087138200355,25.679107325968147
0,2,2,extra,3,1,extra,0.4988561272408635,0.24885743568575258,2.5579350595612267,0.13631316185276032,29.20553704371813
0,2,2,extra,3,2,extra,1.2248850997952294,1.5003435077003688,1.597309392176243,0.053154110298634094,32.94883960674898
0,2,2,extra,4,0,root,0.4460928641719871,0.19899884346516694,2.8897211220412298,0.13047637754955038,26.095061912680094
0,2,2,extra,4,1,extra,0.5644300570811036,0.31858128933657787,2.3510250967880824,0.08636435946449084,28.242722327040003
0,2,2,extra,4,2,extra,0.7465227458458056,0.5572962100651613,2.1930133956231272,0.07514543364660126,29.865965651291113
0,3,0,root,3,1,extra,0.6395490736505991,0.4090230176073395,4.633840263063294,0.447343241324719,0.8170998867864891
0,3,0,root,3,2,extra,0.7886530767220697,0.6219736754231868,3.744479894124062,0.2921068682812363,0.9864125335893245
0,3,0,root,4,0,root,0.4198904649687054,0.17630800257163562,3.0002842761433457,0.18753553620152083,25.236773664588913
0,3,0,root,4,1,extra,0.7594303555224469,0.5767344648889501,2.3518767444589,0.11523592127347071,33.125918959345846
0,3,0,root,4,2,extra,0.5676552141111895,0.3222324421076203,2.2965854298028052,0.10988134659130282,27.345438825987063
0,3,1,extra,3,2,extra,1.3840631836305328,1.915630896281486,2.0641656359573006,0.08876624526389605,5.618198554740229
0,3,1,extra,4,0,root,0.6171367771839669,0.3808578017530131,2.4519941738416007,0.12525573809485743,30.297871678337643
0,3,1,extra,4,1,extra,0.55148835651199,0.3041394073682958,2.1728094783540874,0.09835627144219504,30.14423473979155
0,3,1,extra,4,2,extra,0.964719098153659,0.9306829383424089,1.7256764219626113,0.062040814860785026,37.0479248225429
0,3,2,extra,4,0,root,1.0611916510793085,1.1261277203204285,1.9954667071965566,0.08295598707353898,37.27227001594276
0,3,2,extra,4,1,extra,1.4188281640882092,2.013073359209918,1.2624486078680646,0.033203676823083644,52.84911615068921
0,3,2,extra,4,2,extra,0.872717330840272,0.7616355395489688,2.0827260806941466,0.09036974848340835,37.821873306234885
0,4,0,root,4,1,extra,0.5592699802983235,0.3127829108628872,4.568491660442405,0.3261111883051844,0.6203094062814936
0,4,0,root,4,2,extra,0.5185162464914499,0.26885909787558204,4.807236164871754,0.36108624288829505,0.5594473786422662
0,4,1,extra,4,2,extra,0.970502346675017,0.9418748049017147,4.1386535702066904,0.2676320839716341,0.0
1,0,0,root,0,1,extra,0.32826404685107646,0.10775728445504573,3.9848096020152552,0.4962096113847808,3.5532874051812566
1,0,0,root,1,0,root,0.4530659305448587,0.20526873742047871,2.685655737499238,0.2253983356363305,15.650647246037677
1,0,0,root,1,1,extra,0.5644259464698064,0.3185766490483367,2.6792652472753082,0.22432694578928797,15.225396836893086
1,0,0,root,1,2,extra,0.6038139813766603,0.36459132410593387,2.4182191834637288,0.1827432506022494,21.313825740586715
1,0,0,root,2,0,root,0.5364513247704614,0.28778002384798307,2.3813156947137832,0.17720826368406847,18.06934025156689
1,0,0,root,2,1,extra,0.8944899941674651,0.8001123496657118,2.1140713716953012,0.13966555514442658,18.186752814286702
