dataset,method,repeat,split_id,split_seed,train_seed,split_policy,num_nodes,num_features,num_classes,train_size,val_size,test_size,feature_norm,make_undirected,lr,weight_decay,hidden_channels,dropout,train_acc,val_acc,test_acc,best_epoch,time_sec,params,selection_rule
cornell,graphsage,2,0,20260421,20272766,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.931034505367279,0.7627118825912476,0.7027027010917664,60,0.624,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,3,0,20260422,20272767,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7796609997749329,0.6756756901741028,115,0.965,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,4,0,20260423,20272768,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7796609997749329,0.837837815284729,100,0.804,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,5,0,20260424,20272769,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8474576473236084,0.7297297120094299,200,1.538,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,6,0,20260425,20272770,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7966101765632629,0.8108108043670654,90,0.663,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,7,0,20260426,20272771,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7288135886192322,0.7027027010917664,145,0.765,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,8,0,20260427,20272772,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.9655172228813172,0.694915235042572,0.6756756901741028,60,0.585,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
cornell,graphsage,9,0,20260428,20272773,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.9655172228813172,0.7966101765632629,0.7567567825317383,65,0.47,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,0,0,20260419,20272764,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8305084705352783,0.7837837934494019,120,0.865,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,1,0,20260420,20272765,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8474576473236084,0.8918918967247009,115,0.837,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,2,0,20260421,20272766,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8644067645072937,0.8918918967247009,110,0.944,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,3,0,20260422,20272767,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8305084705352783,0.837837815284729,140,0.788,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,4,0,20260423,20272768,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.9655172228813172,0.8305084705352783,0.7567567825317383,60,0.615,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,5,0,20260424,20272769,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.8474576473236084,0.837837815284729,110,0.85,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,6,0,20260425,20272770,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.931034505367279,0.7966101765632629,0.8108108043670654,55,0.689,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,7,0,20260426,20272771,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,0.977011501789093,0.8135592937469482,0.8648648858070374,80,0.681,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,8,0,20260427,20272772,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.7966101765632629,0.8918918967247009,125,0.836,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
texas,graphsage,9,0,20260428,20272773,random_stratified_matching_fixed_split0_class_counts,183,1703,5,87,59,37,row_l1,True,0.01,0.0005,64,0.5,1.0,0.9152542352676392,0.8648648858070374,115,0.756,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,0,0,20260419,20272764,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9583333134651184,0.824999988079071,0.8235294222831726,65,0.736,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,1,0,20260420,20272765,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9583333134651184,0.8500000238418579,0.8627451062202454,75,0.819,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,2,0,20260421,20272766,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9583333134651184,0.800000011920929,0.8823529481887817,75,0.969,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,3,0,20260422,20272767,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9916666746139526,0.8500000238418579,0.8823529481887817,180,1.213,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,4,0,20260423,20272768,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9583333134651184,0.824999988079071,0.7843137383460999,85,0.761,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,5,0,20260424,20272769,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9833333492279052,0.800000011920929,0.8039215803146362,95,0.851,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,6,0,20260425,20272770,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,1.0,0.824999988079071,0.7843137383460999,155,1.218,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,7,0,20260426,20272771,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9416666626930236,0.824999988079071,0.7450980544090271,70,0.685,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,8,0,20260427,20272772,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9916666746139526,0.8500000238418579,0.901960790157318,90,0.809,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test
wisconsin,graphsage,9,0,20260428,20272773,random_stratified_matching_fixed_split0_class_counts,251,1703,5,120,80,51,row_l1,True,0.01,0.0005,64,0.5,0.9666666388511658,0.800000011920929,0.8627451062202454,95,0.717,218693,strongest_method_for_dataset_then_grid_selected_by_val_only_no_test

