dataset,method,train_per_class,n,val_mean,val_std,test_mean,test_std
chameleon,src_v16c,2,5,0.31333333333333335,0.06480740698407861,0.29315068493150687,0.05070916036532056
chameleon,src_v16c,3,5,0.316,0.06102822662051096,0.30359848484848484,0.05621962180927056
chameleon,src_v16c,5,5,0.37733333333333335,0.04462186808181739,0.3517602283539486,0.040402122387979716
chameleon,src_v16c,8,5,0.42800000000000005,0.06171619632550996,0.4093914710110206,0.03290624009533463
chameleon,src_v16c,10,5,0.48266666666666663,0.015347819244295118,0.44342802118440056,0.00709240243748495
chameleon,src_v16c,15,5,0.46266666666666667,0.03904413457159018,0.47105263157894733,0.0215738929897541
chameleon,src_v16c,20,5,0.504,0.048212492618038796,0.49067587567834237,0.010047676067568595
cornell,ridge_multihop5,1,5,0.40683760683760684,0.09586375995083729,0.3868852459016393,0.25675501736313716
cornell,ridge_multihop5,2,5,0.5070175438596491,0.07530588081170092,0.3016949152542373,0.0638693006149721
cornell,ridge_multihop5,3,5,0.5423423423423424,0.05345007918627504,0.6140350877192983,0.14834679408147158
cornell,ridge_multihop5,5,5,0.5485714285714286,0.07899596706029609,0.5245283018867924,0.16578024631312302
cornell,ridge_multihop5,8,5,0.631578947368421,0.03721614637823931,0.6458333333333333,0.03294039229342063
cornell,ridge_multihop5,10,5,0.7034482758620689,0.03670969982223295,0.6956521739130435,0.021739130434782594
cornell,ridge_multihop5,15,5,0.7558823529411764,0.048328460956338165,0.6926829268292682,0.05057668622762856
cornell,ridge_multihop5,20,5,0.8206896551724137,0.015421158465515844,0.7333333333333333,0.04648111258522647
cornell,ridge_raw,1,5,0.4666666666666666,0.06441519207321975,0.659016393442623,0.11557086381648898
cornell,ridge_raw,2,5,0.5228070175438597,0.04368385823855697,0.4779661016949152,0.17671066466411345
cornell,ridge_raw,3,5,0.6324324324324324,0.047415125646633395,0.6947368421052631,0.17830983785644786
cornell,ridge_raw,5,5,0.6476190476190476,0.04714045207910317,0.5962264150943396,0.11445849726870262
cornell,ridge_raw,8,5,0.7642105263157895,0.06886495677387844,0.7666666666666667,0.051874581658286394
cornell,ridge_raw,10,5,0.8022988505747126,0.03579864713194816,0.7913043478260869,0.04237736671656072
cornell,ridge_raw,15,5,0.8676470588235293,0.02325204161888515,0.8,0.0631325810026575
cornell,ridge_raw,20,5,0.8965517241379309,0.027261014311796398,0.8166666666666667,0.07505142270059054
cornell,src_v16c,1,5,0.40512820512820513,0.08602384711170007,0.40983606557377056,0.25184084419241337
cornell,src_v16c,2,5,0.4912280701754386,0.06475799587821666,0.33559322033898303,0.0579750216152104
cornell,src_v16c,3,5,0.536936936936937,0.04834741572972521,0.5017543859649123,0.1662506349541352
cornell,src_v16c,5,5,0.5447619047619048,0.09651524617263417,0.5660377358490566,0.12586475532194658
cornell,src_v16c,8,5,0.6147368421052631,0.04441057496785047,0.6208333333333333,0.08254838648399562
cornell,src_v16c,10,5,0.7195402298850574,0.04711241731475678,0.726086956521739,0.03949109157518468
cornell,src_v16c,15,5,0.7676470588235295,0.040807167427975306,0.697560975609756,0.06360197468490388
cornell,src_v16c,20,5,0.8517241379310345,0.0313205209044568,0.7666666666666667,0.03167153958608718
squirrel,ridge_multihop5,1,5,0.22266666666666665,0.03608631627393163,0.22556480380499405,0.01499571053129643
squirrel,ridge_multihop5,2,5,0.24666666666666667,0.030912061651652334,0.23792898234477286,0.01260693391699546
squirrel,ridge_multihop5,3,5,0.2666666666666667,0.02449489742783177,0.25170770452740265,0.024303414059207683
squirrel,ridge_multihop5,5,5,0.2733333333333333,0.029439202887759506,0.25889375248706725,0.011903385509427303
squirrel,ridge_multihop5,8,5,0.27999999999999997,0.05981452814975454,0.26805028936340053,0.024715526930583487
squirrel,ridge_multihop5,10,5,0.284,0.04205816078823333,0.2762247550489902,0.03278203917050683
squirrel,ridge_multihop5,15,5,0.288,0.017888543819998326,0.2959807073954984,0.029963078299744778
squirrel,ridge_multihop5,20,5,0.32133333333333336,0.021807236311728165,0.303332660068673,0.013464922906104695
squirrel,ridge_raw,1,5,0.244,0.03003701420285016,0.25537059056678557,0.007442322864820963
squirrel,ridge_raw,2,5,0.2613333333333333,0.04120409904096652,0.2591549295774648,0.005179785803555205
